parent_id,position,key,type,value
root,0,mining,integer,0
root,1,mineral_processing,integer,0
root,2,energy_grid,integer,0
root,3,research_methods,integer,0
root,4,industrial_synergy,integer,0
root,5,hangar_capacity,integer,0
root,6,salvage,integer,0
root,7,industrial_mastery,integer,0
root,8,patrol_radius,integer,0
root,9,patrol_outer,integer,0
root,10,patrol_speed,integer,0
root,11,orbit_navigation,integer,0
root,12,interceptor_drive,integer,0
root,13,laser_drive,integer,0
root,14,missile_drive,integer,0
root,15,patrol_command,integer,0
root,16,damage,integer,0
root,17,rapid,integer,0
root,18,spread,integer,0
root,19,kinetic_coils,integer,0
root,20,ammo_packing,integer,0
root,21,fire_control,integer,0
root,22,projectile_drive,integer,0
root,23,kinetic_mastery,integer,0
root,24,laser,integer,0
root,25,laser_focus,integer,0
root,26,laser_capacitors,integer,0
root,27,laser_cycling,integer,0
root,28,laser_arrays,integer,0
root,29,laser_range,integer,0
root,30,laser_cooling,integer,0
root,31,photonic_mastery,integer,0
root,32,missile,integer,0
root,33,warhead,integer,0
root,34,missile_feed,integer,0
root,35,missile_salvo,integer,0
root,36,missile_engines,integer,0
root,37,missile_blast,integer,0
root,38,missile_guidance,integer,0
root,39,missile_mastery,integer,0
root,40,shield,integer,0
root,41,drone_armor,integer,0
root,42,shield_regen,integer,0
root,43,field_repair,integer,0
root,44,repair_protocol,integer,0
root,45,factory_automation,integer,0
root,46,combat_logistics,integer,0
root,47,defense_network,integer,0
root,48,alien_navigation,integer,0
root,49,alien_kinetic_range,integer,0
root,50,alien_laser_range,integer,0
root,51,alien_missile_range,integer,0
root,52,alien_propulsion,integer,0
root,53,alien_field_support,integer,0
root,54,mothership_assault,integer,0
root,55,death_blast,integer,0
root,56,frontier_range_1,integer,0
root,57,frontier_range_2,integer,0
root,58,frontier_range_3,integer,0
