parent_id,position,alien,branch,icon,id,importance,is_pair_second,layout_depth,layout_lane,max,name,ranks,size,tier,has_cost,has_draw_position,has_effects,has_requires,has_unlock,has_values
root,0,false,K,,K_S01,1,false,1,-4,1,弹芯加工 Ⅰ,1,small,1,true,true,true,true,true,true
root,1,false,K,,K_S21,1,true,2,-4,1,弹芯加工 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,2,false,K,,K_S02,1,false,1,-2,1,枪机循环 Ⅰ,1,small,1,true,true,true,true,true,true
root,3,false,K,,K_S22,1,true,2,-2,1,枪机循环 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,4,false,K,,K_S04,1,false,1,2,1,轻甲破片 Ⅰ,1,small,1,true,true,true,true,true,true
root,5,false,K,,K_S24,1,true,2,2,1,轻甲破片 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,6,false,K,,K_S05,1,false,1,4,1,枪口延伸 Ⅰ,1,small,1,true,true,true,true,true,true
root,7,false,K,,K_S25,1,true,2,4,1,枪口延伸 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,8,false,K,,K_S06,1,false,3,-4,1,弹芯加工 Ⅱ,1,small,2,true,true,true,true,true,true
root,9,false,K,,K_S26,1,true,4,-4,1,弹芯加工 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,10,false,K,,K_S07,1,false,3,-2,1,枪机循环 Ⅱ,1,small,2,true,true,true,true,true,true
root,11,false,K,,K_S27,1,true,4,-2,1,枪机循环 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,12,false,K,,K_S09,1,false,3,2,1,轻甲破片 Ⅱ,1,small,2,true,true,true,true,true,true
root,13,false,K,,K_S29,1,true,4,2,1,轻甲破片 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,14,false,K,,K_S10,1,false,3,4,1,枪口延伸 Ⅱ,1,small,2,true,true,true,true,true,true
root,15,false,K,,K_S30,1,true,4,4,1,枪口延伸 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,16,false,K,,K_S11,1,false,5,-4,1,弹芯加工 Ⅲ,1,small,3,true,true,true,true,true,true
root,17,false,K,,K_S31,1,true,6,-4,1,弹芯加工 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,18,false,K,,K_S12,1,false,5,-2,1,枪机循环 Ⅲ,1,small,3,true,true,true,true,true,true
root,19,false,K,,K_S32,1,true,6,-2,1,枪机循环 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,20,false,K,,K_S14,1,false,5,2,1,轻甲破片 Ⅲ,1,small,3,true,true,true,true,true,true
root,21,false,K,,K_S34,1,true,6,2,1,轻甲破片 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,22,false,K,,K_S15,1,false,5,4,1,枪口延伸 Ⅲ,1,small,3,true,true,true,true,true,true
root,23,false,K,,K_S35,1,true,6,4,1,枪口延伸 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,24,false,K,,K_S16,1,false,7,-4,1,弹芯加工 Ⅳ,1,small,4,true,true,true,true,true,true
root,25,false,K,,K_S36,1,true,8,-4,1,弹芯加工 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,26,false,K,,K_S17,1,false,7,-2,1,枪机循环 Ⅳ,1,small,4,true,true,true,true,true,true
root,27,false,K,,K_S37,1,true,8,-2,1,枪机循环 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,28,false,K,,K_S19,1,false,7,2,1,轻甲破片 Ⅳ,1,small,4,true,true,true,true,true,true
root,29,false,K,,K_S39,1,true,8,2,1,轻甲破片 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,30,false,K,,K_S20,1,false,7,4,1,枪口延伸 Ⅳ,1,small,4,true,true,true,true,true,true
root,31,false,K,,K_S40,1,true,8,4,1,枪口延伸 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,32,false,M,,M_S01,1,false,4,-4,1,战斗部装药 Ⅰ,1,small,1,true,true,true,true,true,true
root,33,false,M,,M_S24,1,true,5,-4,1,战斗部装药 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,34,false,M,,M_S02,1,false,4,-2,1,挂架装填 Ⅰ,1,small,1,true,true,true,true,true,true
root,35,false,M,,M_S25,1,true,5,-2,1,挂架装填 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,36,false,M,,M_S03,1,false,4,0,1,爆破整形 Ⅰ,1,small,1,true,true,true,true,true,true
root,37,false,M,,M_S26,1,true,5,0,1,爆破整形 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,38,false,M,blast,M_S04,1,false,4,2,1,爆轰增幅 1,1,small,1,true,true,true,true,true,true
root,39,false,M,blast,M_S27,1,true,5,2,1,爆轰增幅 1 · 续,1,small,1,true,true,true,true,true,true
root,40,false,M,,M_S05,1,false,4,4,1,助推推进 Ⅰ,1,small,1,true,true,true,true,true,true
root,41,false,M,,M_S28,1,true,5,4,1,助推推进 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,42,false,M,,M_S06,1,false,6,-4,1,战斗部装药 Ⅱ,1,small,2,true,true,true,true,true,true
root,43,false,M,,M_S29,1,true,7,-4,1,战斗部装药 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,44,false,M,,M_S07,1,false,6,-2,1,挂架装填 Ⅱ,1,small,2,true,true,true,true,true,true
root,45,false,M,,M_S30,1,true,7,-2,1,挂架装填 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,46,false,M,blast,M_S09,1,false,6,2,1,爆轰增幅 2,1,small,2,true,true,true,true,true,true
root,47,false,M,blast,M_S32,1,true,7,2,1,爆轰增幅 2 · 续,1,small,2,true,true,true,true,true,true
root,48,false,M,,M_S11,1,false,8,-4,1,战斗部装药 Ⅲ,1,small,3,true,true,true,true,true,true
root,49,false,M,,M_S34,1,true,9,-4,1,战斗部装药 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,50,false,M,,M_S12,1,false,8,-2,1,挂架装填 Ⅲ,1,small,3,true,true,true,true,true,true
root,51,false,M,,M_S35,1,true,9,-2,1,挂架装填 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,52,false,M,,M_S13,1,false,8,0,1,爆破整形 Ⅲ,1,small,3,true,true,true,true,true,true
root,53,false,M,,M_S36,1,true,9,0,1,爆破整形 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,54,false,M,blast,M_S14,1,false,8,2,1,爆轰增幅 3,1,small,3,true,true,true,true,true,true
root,55,false,M,blast,M_S37,1,true,9,2,1,爆轰增幅 3 · 续,1,small,3,true,true,true,true,true,true
root,56,false,M,,M_S15,1,false,8,4,1,助推推进 Ⅲ,1,small,3,true,true,true,true,true,true
root,57,false,M,,M_S38,1,true,9,4,1,助推推进 Ⅲ · 续,1,small,3,true,true,true,true,true,true
root,58,false,M,,M_S16,1,false,10,-4,1,战斗部装药 Ⅳ,1,small,4,true,true,true,true,true,true
root,59,false,M,,M_S39,1,true,11,-4,1,战斗部装药 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,60,false,M,,M_S17,1,false,10,-2,1,挂架装填 Ⅳ,1,small,4,true,true,true,true,true,true
root,61,false,M,,M_S40,1,true,11,-2,1,挂架装填 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,62,false,M,,M_S18,1,false,10,0,1,爆破整形 Ⅳ,1,small,4,true,true,true,true,true,true
root,63,false,M,,M_S41,1,true,11,0,1,爆破整形 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,64,false,M,blast,M_S19,1,false,10,2,1,爆轰增幅 4,1,small,4,true,true,true,true,true,true
root,65,false,M,blast,M_S42,1,true,11,2,1,爆轰增幅 4 · 续,1,small,4,true,true,true,true,true,true
root,66,false,M,,M_S20,1,false,10,4,1,助推推进 Ⅳ,1,small,4,true,true,true,true,true,true
root,67,false,M,,M_S43,1,true,11,4,1,助推推进 Ⅳ · 续,1,small,4,true,true,true,true,true,true
root,68,false,L,,L_S01,1,false,5,-4,1,晶体增益 Ⅰ,1,small,1,true,true,true,true,true,true
root,69,false,L,,L_S21,1,true,6,-4,1,晶体增益 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,70,false,L,,L_S02,1,false,5,-2,1,脉冲循环 Ⅰ,1,small,1,true,true,true,true,true,true
root,71,false,L,,L_S22,1,true,6,-2,1,脉冲循环 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,72,false,L,,L_S03,1,false,5,0,1,光学准直 Ⅰ,1,small,1,true,true,true,true,true,true
root,73,false,L,,L_S23,1,true,6,0,1,光学准直 Ⅰ · 续,1,small,1,true,true,true,true,true,true
root,74,false,L,,L_S06,1,false,7,-4,1,晶体增益 Ⅱ,1,small,2,true,true,true,true,true,true
root,75,false,L,,L_S26,1,true,8,-4,1,晶体增益 Ⅱ · 续,1,small,2,true,true,true,true,true,true
root,76,false,L,,L_S07,1,false,7,-2,1,脉冲循环 Ⅱ,1,small,2,true,true,true,true,true,true
root,77,false,L,,L_S27,1,true,8,-2,1,脉冲循环 Ⅱ · 续,1,small,2,true,true,true,true,true,true
