parent_id,position,key,type,value
K_S01,0,completed_wave,integer,0
K_S01,1,defense_stage,integer,0
K_S21,0,completed_wave,integer,0
K_S21,1,defense_stage,integer,0
K_S02,0,completed_wave,integer,0
K_S02,1,defense_stage,integer,0
K_S22,0,completed_wave,integer,0
K_S22,1,defense_stage,integer,0
K_S04,0,completed_wave,integer,0
K_S04,1,defense_stage,integer,0
K_S24,0,completed_wave,integer,0
K_S24,1,defense_stage,integer,0
K_S05,0,completed_wave,integer,0
K_S05,1,defense_stage,integer,0
K_S25,0,completed_wave,integer,0
K_S25,1,defense_stage,integer,0
K_S06,0,completed_wave,integer,10
K_S06,1,defense_stage,integer,0
K_S26,0,completed_wave,integer,10
K_S26,1,defense_stage,integer,0
K_S07,0,completed_wave,integer,10
K_S07,1,defense_stage,integer,0
K_S27,0,completed_wave,integer,10
K_S27,1,defense_stage,integer,0
K_S09,0,completed_wave,integer,10
K_S09,1,defense_stage,integer,0
K_S29,0,completed_wave,integer,10
K_S29,1,defense_stage,integer,0
K_S10,0,completed_wave,integer,10
K_S10,1,defense_stage,integer,0
K_S30,0,completed_wave,integer,10
K_S30,1,defense_stage,integer,0
K_S11,0,completed_wave,integer,0
K_S11,1,defense_stage,integer,1
K_S31,0,completed_wave,integer,0
K_S31,1,defense_stage,integer,1
K_S12,0,completed_wave,integer,0
K_S12,1,defense_stage,integer,1
K_S32,0,completed_wave,integer,0
K_S32,1,defense_stage,integer,1
K_S14,0,completed_wave,integer,0
K_S14,1,defense_stage,integer,1
K_S34,0,completed_wave,integer,0
K_S34,1,defense_stage,integer,1
K_S15,0,completed_wave,integer,0
K_S15,1,defense_stage,integer,1
K_S35,0,completed_wave,integer,0
K_S35,1,defense_stage,integer,1
K_S16,0,completed_wave,integer,0
K_S16,1,defense_stage,integer,2
K_S36,0,completed_wave,integer,0
K_S36,1,defense_stage,integer,2
K_S17,0,completed_wave,integer,0
K_S17,1,defense_stage,integer,2
K_S37,0,completed_wave,integer,0
K_S37,1,defense_stage,integer,2
K_S19,0,completed_wave,integer,0
K_S19,1,defense_stage,integer,2
K_S39,0,completed_wave,integer,0
K_S39,1,defense_stage,integer,2
K_S20,0,completed_wave,integer,0
K_S20,1,defense_stage,integer,2
K_S40,0,completed_wave,integer,0
K_S40,1,defense_stage,integer,2
M_S01,0,completed_wave,integer,0
M_S01,1,defense_stage,integer,0
M_S24,0,completed_wave,integer,0
M_S24,1,defense_stage,integer,0
M_S02,0,completed_wave,integer,0
M_S02,1,defense_stage,integer,0
M_S25,0,completed_wave,integer,0
M_S25,1,defense_stage,integer,0
M_S03,0,completed_wave,integer,0
M_S03,1,defense_stage,integer,0
M_S26,0,completed_wave,integer,0
M_S26,1,defense_stage,integer,0
M_S04,0,completed_wave,integer,0
M_S04,1,defense_stage,integer,0
M_S27,0,completed_wave,integer,0
M_S27,1,defense_stage,integer,0
M_S05,0,completed_wave,integer,0
M_S05,1,defense_stage,integer,0
M_S28,0,completed_wave,integer,0
M_S28,1,defense_stage,integer,0
M_S06,0,completed_wave,integer,10
M_S06,1,defense_stage,integer,0
M_S29,0,completed_wave,integer,10
M_S29,1,defense_stage,integer,0
M_S07,0,completed_wave,integer,10
M_S07,1,defense_stage,integer,0
M_S30,0,completed_wave,integer,10
M_S30,1,defense_stage,integer,0
M_S09,0,completed_wave,integer,10
M_S09,1,defense_stage,integer,0
M_S32,0,completed_wave,integer,10
M_S32,1,defense_stage,integer,0
